date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:37	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268a7c625-239b%22	https://ed1-customuz.github.io/robots.txt		(from )
11:22:37	44687/44687	U-----	200	untouched ('OK')	text/html	etag:W/%2268a7667d-ae8f%22	https://ed1-customuz.github.io/PersonCabinet/zufarova.html	C:/21%2008%202025/ZUFAROVA/ed1-customuz.github.io/PersonCabinet/zufarova.html	(from )
11:22:52	3194/3194	U-----	200	untouched ('')	image/png	etag:W/%223194-1573812362000%22	https://ed1.customs.uz/PersonCabinet/main_img/emblem_cs.png	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/main_img/emblem_cs.png	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:22:52	252881/252881	U-----	200	untouched ('')	application/javascript	etag:W/%22252881-1334635244000%22	https://ed1.customs.uz/PersonCabinet/datapick/ui/jquery-1.7.2.js	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/datapick/ui/jquery-1.7.2.js	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:22:52	43485/43485	U-----	200	untouched ('')	application/javascript	etag:W/%2243485-1573800062000%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/bundles/vendorscripts.bundle.js	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/bundles/vendorscripts.bundle.js	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:22:52	133270/133270	U-----	200	untouched ('')	application/javascript	etag:W/%22133270-1573800064000%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/bundles/libscripts.bundle.js	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/bundles/libscripts.bundle.js	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:23:06	12446/12446	U-----	200	untouched ('')	application/javascript	etag:W/%2212446-1573800066000%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/plugins/aos-animation/aos.js	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/plugins/aos-animation/aos.js	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:23:07	8055/8055	U-----	200	untouched ('')	application/javascript	etag:W/%228055-1573800062000%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/bundles/mainscripts.bundle.js	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/bundles/mainscripts.bundle.js	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:23:07	201397/201397	U-----	200	untouched ('OK')	text/css	etag:W/%22201397-1605778862974%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/plugins/bootstrap/css/bootstrap.min.css	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
11:23:07	25983/25983	U-----	200	untouched ('OK')	text/css	etag:W/%2225983-1573800062000%22	https://ed1.customs.uz/PersonCabinet/template/property/assets/plugins/aos-animation/aos.css	C:/21%2008%202025/ZUFAROVA/ed1.customs.uz/PersonCabinet/template/property/assets/plugins/aos-animation/aos.css	(from https://ed1-customuz.github.io/PersonCabinet/zufarova.html)
